,l_names,l_team18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train,l_pos18__QB,l_pos18__RB,l_pos18__TE,l_pos18__WR,PointsPerGame,QBPassing
32,Jordan Matthews,SF,14,70.0,,,NE,WR,10.0,63.799999,0.059999999000000005,190.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,282.0,1.0,14.0,0.0,0.0,0.0,1.0,86.0,14.0,10,16,245.3,104.0,20.700001,351.60001,23.9,0.69648665,0,0,0,1,6.3799999,0.0
33,Jack Doyle,Ind,6,70.33000200000001,144.0,6.0,Ind,TE,15.0,188.0,0.72000003,106.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,690.0,4.0,34.0,0.0,0.0,0.0,2.0,34.0,7.0,4,17,180.8,103.8,16.4,367.10001,25.299999,0.91193444,0,0,1,0,12.533333333333333,0.0
34,Trent Taylor,SF,14,70.629997,,,SF,WR,15.0,141.57001,0.02,1935.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,430.0,2.0,27.0,289.0,0.0,0.0,1.0,,,10,16,245.3,104.0,20.700001,351.60001,23.9,0.6795634,0,0,0,1,9.438000666666666,0.0
35,Jonnu Smith,Ten,13,71.199997,,,Ten,TE,16.0,49.470001,0.0099999998,1951.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,157.0,2.0,5.0,0.0,0.0,0.0,0.0,,,17,5,199.39999,114.6,20.9,328.0,22.299999,0.73897004,0,0,1,0,3.0918750625,0.0
36,Jaron Brown,Sea,16,74.07,,,Sea,WR,16.0,117.8,0.02,304.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,477.0,4.0,23.0,0.0,0.0,0.0,0.0,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,0.6537739,0,0,0,1,7.3625,0.0
37,TJ Jones,NYG,15,74.470001,,,Det,WR,14.0,103.8,0.0,1928.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,399.0,1.0,22.0,152.0,0.0,1.0,0.0,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.8998394000000001,0,0,0,1,7.414285714285714,0.0
38,Tyler Higbee,LAR,16,75.470001,,,LAR,TE,16.0,64.66999799999999,0.0099999998,1927.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,295.0,1.0,12.0,0.0,0.0,0.0,0.0,,,1,10,239.39999,122.1,29.9,339.60001,20.6,0.57342321,0,0,1,0,4.0418748749999995,0.0
42,Antonio Gates,LAC,16,87.199997,,,LAC,TE,16.0,91.07,0.02,212.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,316.0,3.0,16.0,0.0,0.0,0.0,0.0,135.0,3.0,5,23,276.89999,99.699997,22.200001,328.39999,17.0,0.98748469,0,0,1,0,5.691875,0.0
47,Jesse James,Det,16,91.199997,,,Pit,TE,16.0,111.8,0.059999999000000005,278.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,372.0,3.0,20.0,0.0,0.0,0.0,0.0,206.0,3.0,20,8,261.39999,76.300003,25.6,355.79999,23.5,0.68806034,0,0,1,0,6.9875,0.0
48,Spencer Ware,Ind,13,91.529999,194.0,1.0,KC,RB,14.0,240.89999,0.11,211.0,805.0,0.0,0.0,0.0,921.0,3.0,47.0,33.0,447.0,2.0,17.0,0.0,0.0,0.0,3.0,5.0,19.0,4,17,180.8,103.8,16.4,367.10001,25.299999,0.9794578000000002,0,1,0,0,17.207142142857144,0.0
